machine,emulation_time
cameo,381.41351795196533
cameo,380.4129328727722
cameo,381.10315203666687
cameo,380.54421496391296
cameo,380.9391248226166
cameo,380.8211269378662
cameo,381.09861302375793
cameo,380.8996980190277
cameo,380.71468806266785
cameo,381.0460510253906
cameo,380.7197000980377
cameo,381.05298495292664
cameo,381.48432302474976
cameo,380.41248393058777
cameo,380.5196189880371
cameo,380.21288108825684
cameo,380.7913818359375
cameo,380.0095868110657
cameo,380.48752617836
cameo,380.68602299690247
cameo,380.61570596694946
cameo,380.68941283226013
cameo,380.703351020813
cameo,380.8761200904846
cameo,380.72721099853516
cameo,380.3949010372162
cameo,380.57933497428894
cameo,380.8622739315033
cameo,380.90973687171936
cameo,381.1395380496979
cameo,380.95245885849
cameo,380.66952300071716
cameo,381.365296125412
cameo,380.62170791625977
cameo,381.0269560813904
cameo,380.4701199531555
cameo,380.08365392684937
cameo,380.88576102256775
cameo,380.5678970813751
cameo,380.4764029979706
cameo,380.8248429298401
cameo,380.7485029697418
cameo,380.91357612609863
cameo,380.24867010116577
cameo,380.25006103515625
cameo,381.35471987724304
cameo,380.42273592948914
cameo,380.9814248085022
cameo,381.10917615890503
cameo,380.95540499687195
cameo,380.7769010066986
cameo,380.3317070007324
cameo,380.60986495018005
cameo,381.1949710845947
cameo,380.8850769996643
cameo,379.9257187843323
cameo,380.52861404418945
cameo,380.48348784446716
cameo,380.57484793663025
cameo,380.80526518821716
cameo,380.40174293518066
cameo,380.6469581127167
radical,152.50262808799744
radical,153.77129101753235
radical,155.65751004219055
radical,151.88460302352905
radical,149.8598349094391
radical,152.3201630115509
radical,152.25169897079468
radical,153.4862940311432
radical,152.2513289451599
radical,152.80012679100037
radical,153.49135613441467
radical,154.20936512947083
radical,153.69418597221375
radical,153.9926040172577
radical,153.0592441558838
radical,152.8365080356598
radical,150.88370990753174
radical,149.9774398803711
radical,151.522038936615
radical,153.00827312469482
radical,151.03704500198364
radical,152.39070391654968
radical,152.643648147583
radical,151.54978895187378
radical,153.98199200630188
radical,152.93842101097107
radical,153.0291450023651
radical,150.4190709590912
radical,152.58563613891602
radical,155.813982963562
radical,150.50221300125122
radical,152.4471628665924
radical,152.41117000579834
radical,154.35847282409668
radical,152.6953320503235
radical,152.55571103096008
radical,154.33085703849792
radical,154.7365279197693
radical,153.72152304649353
radical,156.276132106781
radical,153.52035689353943
radical,155.8253149986267
radical,154.76447701454163
radical,152.72303795814514
radical,151.1133120059967
radical,152.69550108909607
radical,152.1701991558075
radical,154.18145394325256
radical,154.17342901229858
radical,152.10598516464233
radical,151.46964716911316
radical,157.33347415924072
radical,156.06635689735413
radical,155.94703006744385
radical,164.72286796569824
radical,168.98020792007446
radical,154.25282382965088
radical,154.952045917511
radical,154.11886596679688
radical,156.09592700004578
radical,158.61615419387817
radical,159.02868008613586
radical,157.29819893836975
radical,155.03293895721436
radical,155.9147388935089
radical,163.32637882232666
radical,170.8244879245758
radical,152.41229104995728
radical,161.74144792556763
radical,155.37480211257935
radical,158.38844108581543
radical,156.59883403778076
radical,156.01572489738464
radical,157.86950612068176
radical,153.04403495788574
radical,163.21150016784668
radical,154.30522418022156
radical,153.76894307136536
radical,155.57709383964539
radical,154.91007900238037
radical,159.14865899085999
radical,152.96824312210083
radical,159.45449209213257
radical,156.99326705932617
radical,154.43317008018494
radical,153.84672498703003
radical,159.82061910629272
radical,145.4490568637848
radical,147.26033997535706
radical,149.78656196594238
radical,151.75367093086243
radical,154.8569519519806
radical,147.6210699081421
radical,154.95070886611938
radical,156.11963891983032
radical,155.410010099411
radical,158.50924611091614
radical,158.3143310546875
radical,155.64288687705994
radical,155.86259007453918
