0
real 299.26
user 234.18
sys 17.74
1
real 289.99
user 230.96
sys 17.16
2
real 293.99
user 236.81
sys 17.20
3
real 286.99
user 239.37
sys 16.86
4
real 289.99
user 243.35
sys 16.90
5
real 289.99
user 243.59
sys 17.01
6
real 292.00
user 245.87
sys 16.93
7
real 290.99
user 243.91
sys 17.09
8
real 290.99
user 245.11
sys 16.99
9
real 288.00
user 242.80
sys 16.96
10
real 291.99
user 245.06
sys 17.00
11
real 290.00
user 243.78
sys 17.04
12
real 287.99
user 219.10
sys 16.93
13
real 294.00
user 205.45
sys 17.18
14
real 288.99
user 200.03
sys 17.23
15
real 286.99
user 199.24
sys 17.08
16
real 288.00
user 196.58
sys 17.30
17
real 289.00
user 203.47
sys 17.16
18
real 288.99
user 222.44
sys 17.14
19
real 286.99
user 239.95
sys 16.96
20
real 285.99
user 240.49
sys 16.90
21
real 289.00
user 242.78
sys 16.96
22
real 289.99
user 243.73
sys 17.06
23
real 289.00
user 241.92
sys 16.96
24
real 292.99
user 246.83
sys 17.28
25
real 293.00
user 244.82
sys 17.29
26
real 287.99
user 230.39
sys 17.17
27
real 287.99
user 240.19
sys 17.08
28
real 308.00
user 233.10
sys 17.77
29
real 358.99
user 202.84
sys 19.10
30
real 377.99
user 215.42
sys 19.08
31
real 372.46
user 208.41
sys 19.20
32
real 352.53
user 206.48
sys 18.40
33
real 318.12
user 199.72
sys 18.06
34
real 318.93
user 206.63
sys 17.51
35
real 319.94
user 199.05
sys 17.46
36
real 312.99
user 201.75
sys 17.60
37
real 312.00
user 210.84
sys 17.90
38
real 302.32
user 212.38
sys 17.65
39
real 305.67
user 207.97
sys 17.69
40
real 306.99
user 198.25
sys 17.62
41
real 316.99
user 205.44
sys 18.01
42
real 301.99
user 213.70
sys 17.70
43
real 297.99
user 215.53
sys 17.61
44
real 304.99
user 221.70
sys 17.45
45
real 306.27
user 214.35
sys 17.59
46
real 302.72
user 207.35
sys 17.47
47
real 303.99
user 211.10
sys 17.50
48
real 308.00
user 203.84
sys 17.54
49
real 296.99
user 214.86
sys 17.43
50
real 294.99
user 213.22
sys 17.58
51
real 305.00
user 184.73
sys 17.79
52
real 297.99
user 219.20
sys 17.61
53
real 288.00
user 238.42
sys 17.46
54
real 292.99
user 242.91
sys 17.55
55
real 288.99
user 235.68
sys 17.58
56
real 290.00
user 238.94
sys 17.33
57
real 288.00
user 237.18
sys 17.45
58
real 290.99
user 239.25
sys 17.40
59
real 288.00
user 238.01
sys 17.62
60
real 287.99
user 235.28
sys 17.36
61
real 288.99
user 234.01
sys 17.48
62
real 290.99
user 239.28
sys 17.35
63
real 287.99
user 237.28
sys 17.41
64
real 289.99
user 236.67
sys 17.59
65
real 287.99
user 240.31
sys 17.41
66
real 288.99
user 236.81
sys 17.52
67
real 288.00
user 239.10
sys 17.38
68
real 290.99
user 241.14
sys 17.51
69
real 289.21
user 240.64
sys 17.27
