,pid,PendingInputStaging,Done
0,1,47.7510800362,954.509962082
1,1,47.7686731815,954.531258106
2,1,47.8041911125,954.555256128
3,1,47.8164591789,954.589534044
4,1,47.8670020103,955.641530991
5,1,47.867618084,955.737194061
6,1,47.9287610054,956.856534004
7,1,47.9302530289,956.907623053
8,1,47.9936220646,956.953840017
9,1,47.9990301132,957.033734083
10,1,48.0615041256,957.047930956
11,1,48.0610339642,957.07831502
12,1,48.1113801003,957.100944996
13,1,48.1179311275,957.12660718
14,1,48.1638221741,957.154221058
15,1,48.1665260792,957.178716183
16,1,48.2237269878,958.240215063
17,1,48.2273850441,958.268321037
18,1,54.4595555067,958.28986001
19,1,54.4689925909,958.314859152
20,1,54.4940061569,958.331477165
21,1,54.4915691614,959.40072298
22,1,54.5224815607,959.412709951
23,1,54.5234210491,959.450900078
24,1,54.5504075289,959.463534117
25,1,54.550571084,959.497663021
26,1,54.5770446062,960.542333126
27,1,54.5837670565,960.570266008
28,1,54.6041505337,960.590298176
29,1,54.6034375429,960.615215063
30,1,54.6313121319,960.643373966
31,1,54.6280195713,961.721956968
32,1,54.6672151089,961.729609013
33,1,48.6745491028,961.764255047
34,1,54.6917675734,961.774381161
35,1,54.7067550421,961.804443121
36,1,54.7212065458,962.86503315
37,1,54.7330620289,962.906922102
38,1,54.757240057,962.908969164
39,1,54.7577780485,963.988502026
40,1,54.7788830996,964.016900063
41,1,54.7718191147,964.043046951
42,1,54.7971525192,965.141900063
43,1,48.9768900871,965.197565079
44,1,49.0009820461,965.248993158
45,1,49.0258741379,965.291946173
46,1,49.061866045,965.343348026
47,1,49.0899231434,965.386727095
48,1,49.1171400547,965.441041946
49,1,49.1460340023,965.548998117
50,1,49.1622409821,965.578040123
51,1,49.1989610195,965.605175972
52,1,49.2072100639,965.624258041
53,1,49.253013134,966.702289104
54,1,49.2569451332,966.701301098
55,1,49.3027591705,966.748681068
56,1,49.3006510735,966.751165152
57,1,49.3543729782,966.79767108
58,1,49.3538651466,967.839888096
59,1,49.4064691067,967.89191699
60,1,49.4048850536,967.892960072
61,1,49.4508020878,967.938655138
62,1,49.4552931786,967.942814112
63,1,49.5119769573,969.072448015
64,1,49.5124969482,969.089667082
65,1,49.5657081604,969.152338982
66,1,49.5640029907,969.182546139
67,1,49.6248991489,969.218729973
68,1,49.6254000664,970.260733128
69,1,49.6722500324,970.299978018
70,1,49.6748740673,970.305819988
71,1,49.7281630039,970.355386019
72,1,49.7276690006,970.353479147
73,1,49.7754101753,970.401374102
74,1,49.7811501026,970.403347015
75,1,49.8231170177,970.457093
76,1,49.8336670399,970.464758158
77,1,49.8935899734,971.591504097
78,1,49.8713350296,971.590909958
79,1,49.9336230755,971.638581991
80,1,49.9400069714,971.639276028
81,1,49.9909870625,971.689916134
82,1,49.9916250706,972.729088068
83,1,50.0445799828,972.790130138
84,1,50.0499579906,972.789282084
85,1,50.1103200912,972.849081039
86,1,50.1107480526,972.853201151
87,1,50.1714031696,972.897999048
88,2,66.4770851135,972.901637077
89,2,66.5125219822,972.94298315
90,2,66.5272359848,972.955873013
91,2,66.5611121655,973.003200054
92,2,66.5759429932,973.006531954
93,1,50.17654109,974.087340117
94,1,50.2197601795,974.089061022
95,1,50.2243709564,974.129801989
96,1,50.2751300335,974.135493994
