,pid,PendingInputStaging,Done
0,1,1416.41174293,2323.75243902
1,1,1416.47445488,2323.80013585
2,1,1416.527529,2323.90781903
3,1,1416.556036,2323.947191
4,1,1416.57478786,2323.99017191
5,1,1416.59400201,2325.13034487
6,1,1416.61294985,2325.16844392
7,1,1416.63283587,2325.20043206
8,1,1416.6747129,2325.23164105
9,1,1416.69815397,2325.25188088
10,1,1416.71873593,2326.33164406
11,1,1416.742208,2326.34332991
12,1,1416.76185083,2326.43038392
13,1,1416.78288794,2326.43068004
14,1,1416.80517602,2326.50069594
15,1,1416.8527689,2326.58532095
16,1,1416.90731907,2326.70067
17,1,1416.97279,2326.76548386
18,1,1417.01545691,2327.56141186
19,1,1417.03705001,2327.60808897
20,1,1417.05633187,2328.78885102
21,1,1417.07636595,2328.88605499
22,1,1417.09473896,2328.88966203
23,1,1417.11338401,2328.95226288
24,1,1417.13853788,2328.95883489
25,1,1417.19982791,2330.01963496
26,1,1417.15937591,2330.02010202
27,1,1417.24717784,2330.04162788
28,1,1417.22802997,2330.04221702
29,1,1417.26973891,2330.06204605
30,1,1417.29158497,2331.12584805
31,1,1417.31814504,2331.13968396
32,1,1417.33990884,2331.17495298
33,1,1417.35908294,2331.17670107
34,1,1417.43115091,2331.21907091
35,1,1422.52843046,2332.23699903
36,1,1422.55141449,2333.53663492
37,1,1422.55945802,2333.54721999
38,1,1422.56282699,2333.59575105
39,1,1422.58477199,2333.59584498
40,1,1422.63125348,2333.61285591
41,1,1422.59552395,2334.68112206
42,1,1422.69980204,2334.70427585
43,1,1422.72569299,2334.74928784
44,1,1422.88941646,2334.76939487
45,1,1422.92644536,2334.784307
46,1,1422.96908295,2334.80345798
47,1,1422.98888695,2334.83786488
48,1,1422.98637605,2334.87339687
49,1,1423.00507545,2334.91667295
50,1,1423.01631594,2334.95633602
51,1,1423.03106737,2336.03245687
52,1,1423.04485297,2336.05821896
53,1,1423.06000638,2336.12365294
54,1,1423.07779884,2336.16498899
55,1,1423.10069752,2336.19554591
56,1,1423.11108387,2337.25345397
57,1,1423.11456597,2337.27872396
58,1,1423.12123299,2337.28243685
59,1,1423.13458443,2337.29574084
60,1,1423.14027941,2337.30093288
61,1,1423.17170739,2338.34701395
62,1,1423.19278848,2338.35869789
63,1,1423.24230599,2338.36714196
64,1,1423.24977195,2338.37606287
65,1,1423.26806355,2338.38498497
66,1,1423.28631949,2339.67784286
67,1,1423.27167392,2339.67841601
68,1,1423.28635645,2339.76863384
69,1,1423.30291939,2339.76885605
70,1,1423.29997802,2339.78997493
71,1,1423.3282305,2339.79169893
72,1,1423.3470974,2340.838063
73,1,1423.3901509,2340.83899188
74,1,1423.39681542,2340.86663699
75,1,1423.42927492,2340.87022901
76,1,1423.43178654,2340.93088484
77,1,1423.44347394,2340.9390769
78,1,1419.29774284,2340.96792102
79,1,1419.31017399,2340.97214985
80,1,1419.31707096,2340.98783898
81,1,1419.33162999,2342.04134893
82,1,1419.34021997,2342.118186
83,1,1419.36327505,2342.1184299
84,1,1419.37969685,2342.20181203
85,1,1419.41475201,2342.20223999
86,1,1419.42518806,2342.24107504
87,2,1434.27187896,2342.24498391
88,2,1434.32945299,2342.29421687
89,2,1434.38166904,2342.31088495
90,2,1434.40516806,2342.35379291
91,1,1419.45906591,2343.45894885
92,1,1419.45952797,2343.50724006
93,1,1419.54268098,2343.58696795
94,1,1419.56625104,2343.61343002
95,1,1419.62799191,2343.62404585
96,2,1434.42451191,2343.63301396
97,2,1434.44409585,2343.64386797
98,2,1434.46373606,2343.65370798
99,2,1434.49528098,2343.66568804
100,2,1434.53020406,2343.67690301
101,2,1434.56336188,2343.72545385
102,2,1439.47311151,2343.77574992
103,2,1439.51835346,2343.82700205
104,2,1439.54513001,2343.86072898
105,2,1439.5566355,2343.89841986
106,1,1419.62960601,2344.97325897
107,1,1419.69295287,2344.99084401
108,1,1419.69330192,2345.04365587
109,1,1419.78273892,2345.05480003
110,1,1419.78329706,2345.09923005
111,1,1419.92067504,2345.10433507
112,1,1419.924582,2345.11618805
113,1,1419.95821595,2345.12130499
114,1,1419.96237493,2345.13290787
115,1,1420.00657988,2345.13765597
116,2,1439.57267487,2345.15557194
117,2,1439.60070741,2345.16313291
118,2,1439.65034342,2345.17409801
119,2,1439.6935885,2345.22331691
120,2,1439.71928346,2345.27576184
121,2,1439.74338686,2345.3340199
122,1,1420.00971389,2346.45508885
123,1,1420.090096,2346.46333694
124,1,1420.09056187,2346.62874889
125,1,1420.21382189,2346.63310003
126,1,1420.21428585,2346.79647183
127,2,1439.78384197,2346.798105
128,2,1439.79751897,2346.87883186
129,2,1435.27376103,2346.89045095
130,2,1435.31114292,2346.94416785
131,2,1435.32279086,2346.96319294
132,2,1435.35899091,2347.0129149
133,2,1435.3942399,2347.01322985
134,1,1420.29621792,2347.07553196
135,1,1420.29568601,2347.07855487
136,1,1420.44201899,2347.15979886
137,1,1420.4426949,2347.16014791
138,1,1420.54372597,2347.22400594
139,2,1435.44696093,2347.2302959
140,2,1435.47961187,2347.28318286
141,1,1420.54429603,2348.38503599
142,1,1420.62498188,2348.42390895
143,1,1420.62154889,2348.50028586
144,1,1420.68953705,2348.513556
145,1,1420.68926787,2348.53818703
146,2,1435.49120593,2348.55478001
147,2,1435.49874902,2348.56483889
148,2,1435.51044583,2348.57472301
149,2,1435.52098489,2348.58554506
150,2,1435.55034399,2348.59548306
151,1,1420.70897603,2349.63429594
152,1,1420.7107029,2349.65232897
153,1,1420.7303369,2349.66092086
154,1,1420.73071289,2349.67698383
155,1,1420.76124787,2349.68564606
156,2,1435.55976391,2349.69651985
157,2,1435.71982598,2349.71512985
158,2,1435.72031403,2349.72514391
159,2,1435.81584096,2349.7354579
160,2,1435.81640291,2349.74680591
161,1,1420.76163888,2350.84330988
162,1,1420.78781891,2350.85884595
163,1,1420.78830791,2350.90458298
164,1,1420.81072998,2350.90812898
165,1,1420.81123304,2350.92216301
166,2,1435.92542505,2350.92611194
167,2,1435.92945504,2350.95449305
168,2,1436.02269506,2350.96154499
169,2,1436.02317405,2351.00155497
170,2,1436.07072306,2351.03008199
171,2,1436.07187605,2351.14761591
172,1,1420.85677505,2351.15345287
173,1,1420.85726905,2351.22872806
174,1,1420.88453698,2351.2425139
175,1,1420.88492584,2351.30767393
176,2,1436.12791896,2351.33182597
177,2,1436.12840295,2351.388129
178,2,1436.16619205,2351.43922901
179,2,1436.17167187,2351.53450704
180,1,1420.9057579,2352.60594296
181,1,1420.90626502,2352.62473106
182,1,1420.93082905,2352.63986897
183,1,1420.93125391,2352.64225197
184,1,1420.95281506,2352.65658903
185,1,1420.95325899,2352.65956187
186,2,1436.209934,2352.67613602
187,2,1436.21156406,2352.67814589
188,2,1436.22843504,2352.69548702
189,2,1436.23081088,2352.69933987
190,2,1436.25072193,2352.71415591
191,1,1420.982903,2353.7397809
192,1,1420.98458886,2353.75290203
193,1,1421.00864601,2353.75867796
194,1,1421.01501989,2353.76986289
195,1,1421.02838898,2353.77534199
196,2,1436.25135803,2353.78786302
197,2,1436.27729487,2353.79303098
198,2,1436.27784586,2353.80627203
199,2,1436.29624605,2353.8105979
200,1,1421.03446388,2354.87623787
201,1,1421.05436206,2354.87741303
202,1,1421.05475497,2354.98211098
