0
real 417.00
user 415.00
sys 0.23
1
real 399.99
user 398.78
sys 0.30
2
real 400.47
user 399.16
sys 0.19
3
real 422.79
user 420.88
sys 0.30
4
real 437.73
user 435.41
sys 0.27
5
real 442.99
user 440.71
sys 0.28
6
real 449.44
user 423.03
sys 0.28
7
real 400.55
user 399.13
sys 0.24
8
real 405.59
user 404.25
sys 0.25
9
real 415.89
user 414.56
sys 0.24
10
real 436.56
user 435.19
sys 0.22
11
real 396.28
user 394.37
sys 0.21
12
real 431.85
user 430.56
sys 0.22
13
real 426.79
user 425.30
sys 0.28
14
real 426.99
user 425.79
sys 0.16
15
real 432.90
user 431.63
sys 0.17
16
real 435.52
user 434.30
sys 0.18
17
real 409.56
user 408.34
sys 0.20
18
real 397.99
user 396.75
sys 0.23
19
real 394.08
user 392.78
sys 0.22
20
real 421.91
user 420.76
sys 0.21
21
real 419.12
user 417.69
sys 0.30
22
real 401.86
user 400.64
sys 0.24
23
real 441.42
user 440.21
sys 0.23
24
real 436.91
user 435.78
sys 0.19
25
real 436.53
user 435.19
sys 0.24
26
real 398.13
user 396.89
sys 0.23
27
real 394.33
user 393.24
sys 0.17
28
real 395.66
user 394.45
sys 0.24
29
real 409.27
user 407.94
sys 0.20
30
real 419.26
user 417.81
sys 0.28
31
real 436.52
user 435.28
sys 0.18
32
real 392.13
user 391.02
sys 0.14
33
real 410.09
user 408.80
sys 0.22
34
real 412.64
user 411.41
sys 0.18
35
real 401.22
user 399.98
sys 0.22
36
real 423.14
user 421.89
sys 0.20
37
real 412.09
user 410.81
sys 0.23
38
real 413.32
user 412.23
sys 0.18
39
real 399.26
user 398.02
sys 0.21
40
real 408.71
user 407.62
sys 0.17
41
real 407.52
user 406.45
sys 0.14
42
real 408.75
user 407.54
sys 0.19
43
real 400.00
user 398.69
sys 0.20
44
real 414.13
user 412.72
sys 0.24
45
real 409.93
user 408.64
sys 0.25
46
real 437.92
user 436.71
sys 0.19
47
real 421.31
user 420.19
sys 0.15
48
real 422.96
user 421.70
sys 0.26
49
real 422.97
user 421.78
sys 0.18
50
real 390.75
user 389.62
sys 0.22
51
real 399.78
user 398.62
sys 0.21
52
real 399.55
user 398.30
sys 0.18
53
real 418.44
user 417.14
sys 0.24
54
real 402.21
user 400.92
sys 0.27
55
real 396.99
user 395.79
sys 0.23
56
real 395.99
user 394.84
sys 0.20
57
real 390.00
user 388.85
sys 0.20
58
real 403.91
user 402.72
sys 0.22
59
real 396.26
user 395.12
sys 0.22
60
real 415.59
user 414.32
sys 0.22
61
real 384.22
user 383.15
sys 0.16
62
real 408.99
user 407.84
sys 0.19
63
real 393.39
user 392.26
sys 0.19
64
real 400.60
user 399.58
sys 0.20
65
real 414.41
user 413.22
sys 0.18
66
real 417.58
user 416.32
sys 0.24
67
real 427.08
user 425.92
sys 0.21
68
real 435.48
user 431.00
sys 0.32
69
real 443.41
user 430.90
sys 0.62
