,pid,PendingInputStaging,Done
0,1,1152.46319103,2058.47497201
1,1,1152.46285295,2058.49499393
2,1,1152.49461198,2058.51500201
3,1,1152.49949098,2058.55681801
4,1,1152.51918888,2059.70531487
5,1,1152.52364492,2059.72296596
6,1,1152.54363799,2059.74146104
7,1,1152.54764295,2059.7589879
8,1,1152.56561089,2059.79910207
9,1,1152.56947899,2060.89016104
10,1,1152.5851059,2060.96738696
11,1,1152.59417987,2061.0433259
12,1,1152.60527205,2061.11849093
13,1,1152.61648703,2061.16845393
14,1,1152.62774205,2061.19568706
15,1,1152.63700104,2061.20156908
16,1,1152.68273306,2061.21416402
17,1,1152.68991494,2061.22389603
18,1,1152.72281504,2061.25100303
19,1,2061.63058746,2963.03974009
20,1,2061.63910198,2964.42001009
21,1,1152.72327089,2062.31948686
22,1,1152.7623229,2062.36667204
23,1,1152.78176808,2062.38202906
24,1,1152.81606197,2062.44902992
25,1,1152.83333588,2062.46522307
26,1,2062.68868589,2965.64342308
27,1,2061.53103304,2964.505759
28,1,2061.58528495,2964.5818789
29,1,2062.71999502,2965.66020489
30,1,1152.8657999,2063.55620003
31,1,1152.88240004,2063.5758059
32,1,1152.921556,2063.59646392
33,1,1152.93096995,2063.59709501
34,1,1152.945014,2063.61372709
35,1,1152.95069504,2064.64076686
36,1,1152.96517301,2064.66465688
37,1,1152.96985292,2064.67271996
38,1,1157.5984894,2064.68254995
39,1,1157.59174502,2064.69046092
40,1,1157.61099148,2065.71677303
41,1,1157.61170995,2065.73523307
42,1,1157.64866042,2065.74316001
43,1,1157.64903295,2065.77121687
44,1,1157.69142389,2065.77234101
45,1,2065.80075502,2968.84209609
46,1,2065.79824805,2968.923316
47,1,2065.85204387,2969.016572
48,1,2066.88187504,2970.09490204
49,1,2066.94585395,2970.11458802
50,1,1157.69129252,2066.86021805
51,1,1157.70999002,2066.86488795
52,1,1157.69919407,2066.93174887
53,1,1157.70753205,2066.95418286
54,1,1157.70876896,2066.99456286
55,1,2067.99540687,2971.2552979
56,1,2068.01969886,2971.25425386
57,1,2068.04203701,2971.35852504
58,1,1153.27869391,2068.0660429
59,1,1157.71783602,2068.11638594
60,1,1157.73345542,2068.11669397
61,1,1157.73375452,2068.164464
62,1,2069.13343692,2971.48846102
63,1,2071.26851296,2974.09523487
64,1,2070.17775893,2972.89919591
65,1,2069.13331604,2971.54206705
66,1,2069.15741205,2971.62449288
