,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.one.mturilli.017238.0010,,170.727999926,300.995700121,20.9700000286,0.00139999389648,0.0994999408722,498.778700113,192.78219986,0.00179982185364,0.0253999233246,0.00310015678406,0.00149989128113,0.103600025177,exp1,4,4,1,1,1,4,4,0,rp.session.one.mturilli.017238.0010
rp.session.one.mturilli.017238.0011,,216.466599941,995.498500109,19.6735999584,0.00149989128113,0.583000183105,1239.13040018,703.629699945,0.196500062943,9.2673997879,1.27929997444,0.1617000103,2.39620018005,exp1,1024,1024,1,1,1,1024,1004,20,rp.session.one.mturilli.017238.0011
rp.session.one.mturilli.017238.0012,,214.296300173,802.345099926,20.464099884,0.00130009651184,0.566200017929,1071.78519988,703.481500149,0.197300195694,9.1208999157,1.29559993744,0.171700000763,2.39499998093,exp1,1024,1024,1,1,1,1024,1004,20,rp.session.one.mturilli.017238.0012
rp.session.one.mturilli.017238.0013,,318.870500088,1494.01069999,18.3659999371,0.00119996070862,0.100900173187,1839.33969998,1213.17209983,0.203500032425,32.1296000481,1.3164999485,0.207900047302,2.16699981689,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.one.mturilli.017238.0013
rp.session.one.mturilli.017238.0014,,260.342900038,1201.34910011,20.1052999496,0.000900030136108,0.10019993782,1520.28329992,1134.75409985,0.198400020599,9.01169991493,1.30679988861,0.168800115585,2.43140006065,exp1,1024,1024,1,1,1,1024,1004,20,rp.session.one.mturilli.017238.0014
rp.session.one.mturilli.017238.0017,,200.182100058,1101.42000008,21.8432998657,0.0012001991272,0.576200008392,1358.81060004,1030.33839989,0.20240020752,28.5655999184,1.33169984818,0.285200119019,2.66389989853,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.one.mturilli.017238.0017
rp.session.one.mturilli.017238.0018,,330.700699806,1301.93220019,33.8407001495,0.000900030136108,0.100799798965,1674.38330007,1017.31649995,0.200700044632,29.7975001335,1.32489991188,0.179399967194,2.47950005531,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.one.mturilli.017238.0018
rp.session.one.mturilli.017239.0003,,2103.99670005,1100.93530011,22.9080998898,0.000799894332886,0.100700139999,3262.8276,1021.32189989,0.199199914932,36.5360000134,1.37590003014,0.151999950409,2.29500007629,exp1,1024,1024,1,1,1,1024,1016,8,rp.session.one.mturilli.017239.0003
rp.session.one.mturilli.017239.0005,,317.670699835,1001.13240004,18.967400074,0.00180006027222,0.0988998413086,1355.41290021,931.41050005,0.199300050735,32.040899992,1.32310009003,0.182899951935,2.28490018845,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.one.mturilli.017239.0005
rp.session.one.mturilli.017239.0006,,340.306499958,1301.21449995,19.8215999603,0.00119996070862,0.562800168991,1677.50480008,1234.21829987,0.200000047684,30.3118999004,1.29959988594,0.189200162888,2.34249997139,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.one.mturilli.017239.0006
rp.session.one.mturilli.017239.0007,,308.811100006,1504.07840014,19.7818000317,0.00129985809326,0.0993001461029,1840.48290014,1230.69989991,0.196799993515,33.0691998005,1.32520008087,0.178400039673,2.11919999123,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.one.mturilli.017239.0007
rp.session.one.mturilli.017239.0009,,202.393499851,1301.47390008,18.9400000572,0.000900030136108,0.101000070572,1537.92129993,1226.34859991,0.196099996567,33.1470999718,1.36299991608,0.17510008812,2.2186999321,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.one.mturilli.017239.0009
rp.session.one.mturilli.017239.0010,,318.854700089,1302.16349983,19.2142999172,0.00130009651184,0.100899934769,1655.20280004,1232.46429992,0.199800014496,32.5745999813,1.3234000206,0.184700012207,2.32499980927,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.one.mturilli.017239.0010
