,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,,,,,,,,,170.727999926,300.995700121,20.9700000286,0.00139999389648,0.0994999408722,exp1,smic229.204.90.41.229,4,4,pilot.0000,rp.session.one.mturilli.017238.0010
1,,,,,,,,,216.466599941,995.498500109,19.6735999584,0.00149989128113,0.583000183105,exp1,smic160.204.90.41.160,1024,1024,pilot.0000,rp.session.one.mturilli.017238.0011
2,,,,,,,,,214.296300173,802.345099926,20.464099884,0.00130009651184,0.566200017929,exp1,smic033.204.90.41.33,1024,1024,pilot.0000,rp.session.one.mturilli.017238.0012
3,,,,,,,,,318.870500088,1494.01069999,18.3659999371,0.00119996070862,0.100900173187,exp1,smic033.204.90.41.33,1024,1024,pilot.0000,rp.session.one.mturilli.017238.0013
4,,,,,,,,,260.342900038,1201.34910011,20.1052999496,0.000900030136108,0.10019993782,exp1,smic006.204.90.41.6,1024,1024,pilot.0000,rp.session.one.mturilli.017238.0014
5,,,,,,,,,200.182100058,1101.42000008,21.8432998657,0.0012001991272,0.576200008392,exp1,smic006.204.90.41.6,1024,1024,pilot.0000,rp.session.one.mturilli.017238.0017
6,,,,,,,,,330.700699806,1301.93220019,33.8407001495,0.000900030136108,0.100799798965,exp1,smic006.204.90.41.6,1024,1024,pilot.0000,rp.session.one.mturilli.017238.0018
7,,,,,,,,,2103.99670005,1100.93530011,22.9080998898,0.000799894332886,0.100700139999,exp1,smic009.204.90.41.9,1024,1024,pilot.0000,rp.session.one.mturilli.017239.0003
8,,,,,,,,,317.670699835,1001.13240004,18.967400074,0.00180006027222,0.0988998413086,exp1,smic007.204.90.41.7,1024,1024,pilot.0000,rp.session.one.mturilli.017239.0005
9,,,,,,,,,340.306499958,1301.21449995,19.8215999603,0.00119996070862,0.562800168991,exp1,smic001.204.90.41.1,1024,1024,pilot.0000,rp.session.one.mturilli.017239.0006
10,,,,,,,,,308.811100006,1504.07840014,19.7818000317,0.00129985809326,0.0993001461029,exp1,smic001.204.90.41.1,1024,1024,pilot.0000,rp.session.one.mturilli.017239.0007
11,,,,,,,,,202.393499851,1301.47390008,18.9400000572,0.000900030136108,0.101000070572,exp1,smic001.204.90.41.1,1024,1024,pilot.0000,rp.session.one.mturilli.017239.0009
12,,,,,,,,,318.854700089,1302.16349983,19.2142999172,0.00130009651184,0.100899934769,exp1,smic001.204.90.41.1,1024,1024,pilot.0000,rp.session.one.mturilli.017239.0010
13,,,,,,,,,313.774100065,1302.1645,19.7183001041,0.00139999389648,0.101300001144,exp1,smic001.204.90.41.1,1024,1024,pilot.0000,rp.session.one.mturilli.017239.0011
14,120606.8764,,,4.42420005798,120005.9318,33.4599001408,4.52450013161,4.5232000351,119972.4719,600.944599867,28.9354000092,0.00130009651184,0.0989999771118,exp1,sdsc.edu,16,16,pilot.0000,rp.session.Ubuntu-1604-xenial-64-minimal.mingtha.017261.0000
15,,,7391.69070005,4.28840017319,6542.43640018,44.8662002087,4.39240002632,4.39079999924,6497.57019997,849.254299879,40.4738001823,0.00160002708435,0.10239982605,exp1,stampede.tacc.utexas.edu,16,16,pilot.0000,rp.session.Ubuntu-1604-xenial-64-minimal.mingtha.017261.0002
16,46328.8941,,,4.32130002975,45327.8905001,43.5613999367,4.42219996452,4.42070007324,45284.3291001,1001.00359988,39.1391999722,0.00149989128113,0.0994000434875,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.Ubuntu-1604-xenial-64-minimal.mingtha.017261.0003
17,208247.5691,,,4.35879993439,207347.5204,39.4786000252,4.4607000351,4.45939993858,207308.0418,900.048700094,35.0178999901,0.00130009651184,0.100600004196,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.Ubuntu-1604-xenial-64-minimal.mingtha.017262.0001
18,,,,2.97259998322,,65.6766998768,3.07219982147,3.07179999352,,,62.6045000553,0.000399827957153,0.0992000102997,exp1,,1024,1024,pilot.0000,rp.session.Ubuntu-1604-xenial-64-minimal.mingtha.017265.0021
19,28304.7049,,,4.63700008392,27403.9026,45.2241001129,4.7376999855,4.73640012741,27358.6784999,900.802299976,40.4864001274,0.00129985809326,0.0994000434875,exp1,sdsc.edu,1024,1024,pilot.0000,rp.session.Ubuntu-1604-xenial-64-minimal.mingtha.017266.0004
20,105505.8896,,,4.23869991302,104505.0991,45.5467000008,4.33850002289,4.33719992638,104459.5524,1000.79050016,41.2081999779,0.00130009651184,0.0985000133514,exp1,,1024,1024,pilot.0000,rp.session.Ubuntu-1604-xenial-64-minimal.mingtha.017266.0007
21,33838.0588,,,4.25269985199,33037.0780001,42.9684998989,4.35209989548,4.35100007057,32994.1095002,800.980799913,38.6164000034,0.0010998249054,0.0983002185822,exp1,sdsc.edu,1024,1024,pilot.0000,rp.session.Ubuntu-1604-xenial-64-minimal.mingtha.017267.0013
22,,,,3.4117000103,56220.8808,28.9959001541,3.51360011101,3.51270008087,56191.8848999,,25.4823000431,0.000900030136108,0.101000070572,exp1,,1024,1024,pilot.0000,rp.session.Ubuntu-1604-xenial-64-minimal.mingtha.017267.0024
