,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,pid,sid
0,448.921200037,1096.9770999,40.8440999985,0.00209999084473,0.111500024796,exp1,b7c6cf8a3ae1.172.19.0.3,pilot.0000,rp.session.radical.mingtha.017033.0007
1,274.998300076,1274.11059999,40.8440999985,0.00209999084473,0.111500024796,exp1,phys.uconn.edu,pilot.0001,rp.session.radical.mingtha.017033.0007
2,217.17930007,1330.81699991,40.8440999985,0.00209999084473,0.111500024796,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0007
3,220.585400105,1321.01849985,40.8440999985,0.00209999084473,0.111500024796,exp1,ucsd.edu,pilot.0003,rp.session.radical.mingtha.017033.0007
4,171.301200151,4665.84200001,32.665599823,0.00190019607544,0.115899801254,exp1,b7c6cf8a3ae1.172.19.0.3,pilot.0000,rp.session.radical.mingtha.017033.0008
5,125.983500004,4708.05290008,32.665599823,0.00190019607544,0.115899801254,exp1,ucsd.edu,pilot.0001,rp.session.radical.mingtha.017033.0008
6,172.298600197,4668.06949997,32.665599823,0.00190019607544,0.115899801254,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0008
7,172.400000095,4670.07949996,32.665599823,0.00190019607544,0.115899801254,exp1,icecube.wisc.edu,pilot.0003,rp.session.radical.mingtha.017033.0008
8,161.555799961,2591.18600011,30.7743000984,0.00219988822937,0.104099988937,exp1,icecube.wisc.edu,pilot.0000,rp.session.radical.mingtha.017033.0009
9,211.963200092,2544.90089989,30.7743000984,0.00219988822937,0.104099988937,exp1,b7c6cf8a3ae1.172.19.0.3,pilot.0001,rp.session.radical.mingtha.017033.0009
10,153.793900013,2601.05780005,30.7743000984,0.00219988822937,0.104099988937,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0009
11,235.876600027,2517.97049999,30.7743000984,0.00219988822937,0.104099988937,exp1,phys.uconn.edu,pilot.0003,rp.session.radical.mingtha.017033.0009
12,135.326200008,5932.70679998,25.5676000118,0.00209999084473,0.114300012589,exp1,iu.edu,pilot.0000,rp.session.radical.mingtha.017034.0002
13,180.526299953,5894.63369989,25.5676000118,0.00209999084473,0.114300012589,exp1,campuscluster.illinois.edu,pilot.0001,rp.session.radical.mingtha.017034.0002
14,231.24119997,5838.89980006,25.5676000118,0.00209999084473,0.114300012589,exp1,panther.net,pilot.0002,rp.session.radical.mingtha.017034.0002
15,187.415199995,5881.72230005,25.5676000118,0.00209999084473,0.114300012589,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017034.0002
16,209.106800079,1536.01349998,27.1440999508,0.00219988822937,0.117300033569,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017034.0003
17,137.844900131,1609.38969994,27.1440999508,0.00219988822937,0.117300033569,exp1,iu.edu,pilot.0001,rp.session.radical.mingtha.017034.0003
18,173.405200005,1571.71450019,27.1440999508,0.00219988822937,0.117300033569,exp1,campuscluster.illinois.edu,pilot.0002,rp.session.radical.mingtha.017034.0003
19,229.373600006,1522.0874002,27.1440999508,0.00219988822937,0.117300033569,exp1,panther.net,pilot.0003,rp.session.radical.mingtha.017034.0003
20,204.359799862,3189.27520013,26.4455001354,0.0019998550415,0.120000123978,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017034.0004
21,171.872200012,3221.76279998,26.4455001354,0.0019998550415,0.120000123978,exp1,iu.edu,pilot.0001,rp.session.radical.mingtha.017034.0004
22,170.102599859,3223.53240013,26.4455001354,0.0019998550415,0.120000123978,exp1,campuscluster.illinois.edu,pilot.0002,rp.session.radical.mingtha.017034.0004
23,230.010699987,3163.6243,26.4455001354,0.0019998550415,0.120000123978,exp1,panther.net,pilot.0003,rp.session.radical.mingtha.017034.0004
24,207.109400034,2137.69390011,26.2370998859,0.00209999084473,0.134700059891,exp1,phys.uconn.edu,pilot.0000,rp.session.radical.mingtha.017034.0005
25,246.176399946,2098.6269002,26.2370998859,0.00209999084473,0.134700059891,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017034.0005
26,237.510400057,2107.29290009,26.2370998859,0.00209999084473,0.134700059891,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017034.0005
27,247.587599993,2097.21570015,26.2370998859,0.00209999084473,0.134700059891,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017034.0005
28,177.04129982,3201.49070001,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017034.0006
29,192.647300005,3182.76889992,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017034.0006
30,257.352399826,3123.19440007,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017034.0006
31,207.142299891,3172.39689994,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017034.0006
32,203.943300009,1637.41070008,25.5981998444,0.00220012664795,0.102999925613,exp1,mwt2.org,pilot.0000,rp.session.radical.mingtha.017035.0003
33,269.20080018,1572.15319991,25.5981998444,0.00220012664795,0.102999925613,exp1,mwt2.org,pilot.0001,rp.session.radical.mingtha.017035.0003
34,214.716500044,1626.63750005,25.5981998444,0.00220012664795,0.102999925613,exp1,mwt2.org,pilot.0002,rp.session.radical.mingtha.017035.0003
35,232.818099976,1608.53590012,25.5981998444,0.00220012664795,0.102999925613,exp1,campuscluster.illinois.edu,pilot.0003,rp.session.radical.mingtha.017035.0003
36,228.216700077,5419.02089977,25.7160000801,0.0019998550415,0.102600097656,exp1,panther.net,pilot.0000,rp.session.radical.mingtha.017035.0005
37,174.085900068,5472.1494,25.7160000801,0.0019998550415,0.102600097656,exp1,icecube.wisc.edu,pilot.0001,rp.session.radical.mingtha.017035.0005
38,244.741299868,5396.4854002,25.7160000801,0.0019998550415,0.102600097656,exp1,phys.uconn.edu,pilot.0002,rp.session.radical.mingtha.017035.0005
39,245.135099888,5396.09240007,25.7160000801,0.0019998550415,0.102600097656,exp1,phys.uconn.edu,pilot.0003,rp.session.radical.mingtha.017035.0005
40,157.360000134,1579.59829998,26.0303997993,0.00220012664795,0.110599994659,exp1,campuscluster.illinois.edu,pilot.0000,rp.session.radical.mingtha.017035.0006
41,212.248400211,1522.61909986,26.0303997993,0.00220012664795,0.110599994659,exp1,panther.net,pilot.0001,rp.session.radical.mingtha.017035.0006
42,140.881800175,1591.79349995,26.0303997993,0.00220012664795,0.110599994659,exp1,icecube.wisc.edu,pilot.0002,rp.session.radical.mingtha.017035.0006
43,233.915600061,1505.13440013,26.0303997993,0.00220012664795,0.110599994659,exp1,phys.uconn.edu,pilot.0003,rp.session.radical.mingtha.017035.0006
44,222.125099897,7491.13730001,26.0023999214,0.00200009346008,0.104799985886,exp1,campuscluster.illinois.edu,pilot.0000,rp.session.radical.mingtha.017035.0008
45,221.018699884,7492.24370003,26.0023999214,0.00200009346008,0.104799985886,exp1,campuscluster.illinois.edu,pilot.0001,rp.session.radical.mingtha.017035.0008
46,222.655800104,7490.60659981,26.0023999214,0.00200009346008,0.104799985886,exp1,campuscluster.illinois.edu,pilot.0002,rp.session.radical.mingtha.017035.0008
47,220.738300085,7492.52409983,26.0023999214,0.00200009346008,0.104799985886,exp1,campuscluster.illinois.edu,pilot.0003,rp.session.radical.mingtha.017035.0008
48,276.009499788,1032.52910018,28.3656001091,0.00180006027222,0.0992000102997,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017035.0010
49,276.021399975,1032.51719999,28.3656001091,0.00180006027222,0.0992000102997,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017035.0010
50,335.984399796,972.554200172,28.3656001091,0.00180006027222,0.0992000102997,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017035.0010
51,276.101300001,1032.43729997,28.3656001091,0.00180006027222,0.0992000102997,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017035.0010
52,228.772000074,924.093400002,25.9572000504,0.00209999084473,0.114500045776,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017035.0011
53,235.524399996,914.056699991,25.9572000504,0.00209999084473,0.114500045776,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017035.0011
54,235.655200005,913.925199986,25.9572000504,0.00209999084473,0.114500045776,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017035.0011
55,260.732500076,894.323299885,25.9572000504,0.00209999084473,0.114500045776,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017035.0011
56,516.153800011,793.521699905,29.8334000111,0.00200009346008,0.121799945831,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017035.0012
57,486.808300018,823.974699974,29.8334000111,0.00200009346008,0.121799945831,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017035.0012
58,505.566099882,804.108799934,29.8334000111,0.00200009346008,0.121799945831,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017035.0012
59,502.912199974,814.184099913,29.8334000111,0.00200009346008,0.121799945831,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017035.0012
60,196.09800005,1140.79239988,30.113699913,0.00239992141724,0.112800121307,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017035.0015
61,240.024300098,1096.86609983,30.113699913,0.00239992141724,0.112800121307,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017035.0015
62,268.335700035,1068.5546999,30.113699913,0.00239992141724,0.112800121307,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017035.0015
63,269.905200005,1066.98519993,30.113699913,0.00239992141724,0.112800121307,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017035.0015
64,190.921999931,4726.75279999,28.8029999733,0.00460004806519,0.0975999832153,exp10,mwt2.org,pilot.0000,rp.session.radical.mturilli.017134.0002
65,171.340199947,4746.33459997,28.8029999733,0.00460004806519,0.0975999832153,exp10,mwt2.org,pilot.0001,rp.session.radical.mturilli.017134.0002
66,233.092400074,4684.58239985,28.8029999733,0.00460004806519,0.0975999832153,exp10,campuscluster.illinois.edu,pilot.0002,rp.session.radical.mturilli.017134.0002
67,231.493399858,4686.18140006,28.8029999733,0.00460004806519,0.0975999832153,exp10,campuscluster.illinois.edu,pilot.0003,rp.session.radical.mturilli.017134.0002
68,203.300400019,4714.3743999,28.8029999733,0.00460004806519,0.0975999832153,exp10,mwt2.org,pilot.0004,rp.session.radical.mturilli.017134.0002
69,207.836699963,4709.83809996,28.8029999733,0.00460004806519,0.0975999832153,exp10,mwt2.org,pilot.0005,rp.session.radical.mturilli.017134.0002
70,,,28.8029999733,0.00460004806519,0.0975999832153,exp10,xd-login.opensciencegrid.org,pilot.0006,rp.session.radical.mturilli.017134.0002
71,,,28.8029999733,0.00460004806519,0.0975999832153,exp10,xd-login.opensciencegrid.org,pilot.0007,rp.session.radical.mturilli.017134.0002
72,,,28.8029999733,0.00460004806519,0.0975999832153,exp10,xd-login.opensciencegrid.org,pilot.0008,rp.session.radical.mturilli.017134.0002
73,161.641200066,4756.03359985,28.8029999733,0.00460004806519,0.0975999832153,exp10,local,pilot.0009,rp.session.radical.mturilli.017134.0002
74,,,28.8029999733,0.00460004806519,0.0975999832153,exp10,xd-login.opensciencegrid.org,pilot.0010,rp.session.radical.mturilli.017134.0002
75,,,28.8029999733,0.00460004806519,0.0975999832153,exp10,xd-login.opensciencegrid.org,pilot.0011,rp.session.radical.mturilli.017134.0002
76,383.167900085,4534.50689983,28.8029999733,0.00460004806519,0.0975999832153,exp10,mwt2.org,pilot.0012,rp.session.radical.mturilli.017134.0002
77,191.281699896,4726.39310002,28.8029999733,0.00460004806519,0.0975999832153,exp10,CRUSH.OSG,pilot.0013,rp.session.radical.mturilli.017134.0002
78,207.023099899,4710.65170002,28.8029999733,0.00460004806519,0.0975999832153,exp10,CRUSH.OSG,pilot.0014,rp.session.radical.mturilli.017134.0002
79,178.011800051,4739.66299987,28.8029999733,0.00460004806519,0.0975999832153,exp10,bu.edu,pilot.0015,rp.session.radical.mturilli.017134.0002
80,320.653199911,7713.44620013,29.5483999252,0.00279998779297,0.100600004196,exp10,mwt2.org,pilot.0000,rp.session.radical.mturilli.017134.0004
81,330.8197999,7703.27960014,29.5483999252,0.00279998779297,0.100600004196,exp10,campuscluster.illinois.edu,pilot.0001,rp.session.radical.mturilli.017134.0004
82,333.358200073,7700.74119997,29.5483999252,0.00279998779297,0.100600004196,exp10,campuscluster.illinois.edu,pilot.0002,rp.session.radical.mturilli.017134.0004
83,357.811000109,7676.28839993,29.5483999252,0.00279998779297,0.100600004196,exp10,campuscluster.illinois.edu,pilot.0003,rp.session.radical.mturilli.017134.0004
84,317.058599949,7717.04080009,29.5483999252,0.00279998779297,0.100600004196,exp10,campuscluster.illinois.edu,pilot.0004,rp.session.radical.mturilli.017134.0004
85,332.74029994,7701.3591001,29.5483999252,0.00279998779297,0.100600004196,exp10,campuscluster.illinois.edu,pilot.0005,rp.session.radical.mturilli.017134.0004
86,,,29.5483999252,0.00279998779297,0.100600004196,exp10,xd-login.opensciencegrid.org,pilot.0006,rp.session.radical.mturilli.017134.0004
87,,,29.5483999252,0.00279998779297,0.100600004196,exp10,xd-login.opensciencegrid.org,pilot.0007,rp.session.radical.mturilli.017134.0004
88,325.887700081,7708.21169996,29.5483999252,0.00279998779297,0.100600004196,exp10,mwt2.org,pilot.0008,rp.session.radical.mturilli.017134.0004
89,318.980600119,7715.11879992,29.5483999252,0.00279998779297,0.100600004196,exp10,mwt2.org,pilot.0009,rp.session.radical.mturilli.017134.0004
90,462.410300016,7571.68910003,29.5483999252,0.00279998779297,0.100600004196,exp10,mwt2.org,pilot.0010,rp.session.radical.mturilli.017134.0004
91,325.898099899,7708.20130014,29.5483999252,0.00279998779297,0.100600004196,exp10,mwt2.org,pilot.0011,rp.session.radical.mturilli.017134.0004
92,325.864300013,7708.23510003,29.5483999252,0.00279998779297,0.100600004196,exp10,mwt2.org,pilot.0012,rp.session.radical.mturilli.017134.0004
93,326.428499937,7707.67090011,29.5483999252,0.00279998779297,0.100600004196,exp10,mwt2.org,pilot.0013,rp.session.radical.mturilli.017134.0004
94,434.99119997,7599.10820007,29.5483999252,0.00279998779297,0.100600004196,exp10,mwt2.org,pilot.0014,rp.session.radical.mturilli.017134.0004
