,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.radical.mingtha.017033.0007,4.30360007286,448.931200027,1331.90960002,40.8440999985,0.00209999084473,0.111500024796,1596.39350009,1295.3283,0.0180995464325,0.0223002433777,953.168100119,0.00730013847351,0.260299921036,exp1,4,4,3,4,4,16,16,0,rp.session.radical.mingtha.017033.0007
rp.session.radical.mingtha.017033.0008,4.61919999123,172.400000095,4716.48600006,32.665599823,0.00190019607544,0.115899801254,4904.5927999,4684.33589983,0.0894980430603,0.0920004844666,4281.24379992,0.0374999046326,0.408600091934,exp1,4,4,3,4,4,64,64,0,rp.session.radical.mingtha.017033.0008
rp.session.radical.mingtha.017033.0009,5.88969993591,235.876600027,2603.06019998,30.7743000984,0.00219988822937,0.104099988937,2796.65349984,2576.7191,0.0403001308441,0.0445003509521,2212.58579993,0.0104999542236,0.961600065231,exp1,4,4,4,4,4,32,32,0,rp.session.radical.mingtha.017033.0009
rp.session.radical.mingtha.017034.0002,4.57980012894,231.261199951,5939.83379984,25.5676000118,0.00209999084473,0.114300012589,6110.72230005,5912.59609985,0.123701095581,0.106798410416,5429.90540004,0.0215001106262,0.517499923706,exp1,4,4,4,4,4,64,64,0,rp.session.radical.mingtha.017034.0002
rp.session.radical.mingtha.017034.0003,4.56049990654,229.393599987,1613.61610007,27.1440999508,0.00219988822937,0.117300033569,1802.51469994,1584.00740004,0.0252006053925,0.0269989967346,1184.09669995,0.00859999656677,0.765799999237,exp1,4,4,4,4,4,16,16,0,rp.session.radical.mingtha.017034.0003
rp.session.radical.mingtha.017034.0004,5.22379994392,230.030699968,3223.52240014,26.4455001354,0.0019998550415,0.120000123978,3428.55369997,2980.3888998,0.0471999645233,0.0552008152008,2500.02749991,0.0143001079559,0.298899888992,exp1,4,4,4,4,4,32,32,0,rp.session.radical.mingtha.017034.0004
rp.session.radical.mingtha.017034.0005,4.66899991035,247.587599993,2137.69390011,26.2370998859,0.00209999084473,0.134700059891,2377.89849997,1886.61590004,0.0182003974915,0.325200557709,1283.02469993,0.00799989700317,0.228699922562,exp1,4,4,2,4,4,16,16,0,rp.session.radical.mingtha.017034.0005
rp.session.radical.mingtha.017034.0006,4.56910014153,257.352399826,3203.50550008,25.5355000496,0.00209999084473,0.121799945831,3419.99370003,3173.30019999,0.0487995147705,0.0464994907379,2568.67689991,0.0153000354767,0.286499977112,exp1,4,4,1,4,4,32,32,0,rp.session.radical.mingtha.017034.0006
rp.session.radical.mingtha.017035.0003,4.54830002785,269.20080018,1637.40069985,25.5981998444,0.00220012664795,0.102999925613,1874.73390007,1397.91089988,0.0204999446869,0.0252995491028,1019.05929971,0.00939989089966,0.253900051117,exp1,4,4,2,4,4,16,16,0,rp.session.radical.mingtha.017035.0003
rp.session.radical.mingtha.017035.0005,4.58599996567,245.155099869,5473.15169978,25.7160000801,0.0019998550415,0.102600097656,5680.66949987,5445.20439982,0.100000143051,0.101900100708,5074.48810005,0.0218999385834,0.413599967957,exp1,4,4,3,4,4,64,64,0,rp.session.radical.mingtha.017035.0005
rp.session.radical.mingtha.017035.0006,5.27230000496,233.915600061,1598.16820002,26.0303997993,0.00220012664795,0.110599994659,1793.54929996,1571.21639991,0.0206997394562,0.0240004062653,1149.50300002,0.0106000900269,0.263299942017,exp1,4,4,4,4,4,16,16,0,rp.session.radical.mingtha.017035.0006
rp.session.radical.mingtha.017035.0008,5.92149996758,222.655800104,7492.52409983,26.0023999214,0.00200009346008,0.104799985886,7748.53040004,7251.27629995,0.107199907303,0.112099885941,6842.62199998,0.0269000530243,1.17219996452,exp1,4,4,1,4,4,64,64,0,rp.session.radical.mingtha.017035.0008
rp.session.radical.mingtha.017035.0010,5.375,335.984399796,1032.52910018,28.3656001091,0.00180006027222,0.0992000102997,1345.51230001,785.966099977,0.0110998153687,0.0132999420166,441.616600037,0.00499987602234,0.750600099564,exp1,4,4,1,4,4,8,8,0,rp.session.radical.mingtha.017035.0010
rp.session.radical.mingtha.017035.0011,4.39910006523,260.732500076,926.283799887,25.9572000504,0.00209999084473,0.114500045776,1217.77580023,897.206599951,0.00819969177246,0.0151002407074,455.388200045,0.00590014457703,0.125299930573,exp1,4,4,1,4,4,8,8,0,rp.session.radical.mingtha.017035.0011
rp.session.radical.mingtha.017035.0012,4.58229994774,516.153800011,830.287999868,29.8334000111,0.00200009346008,0.121799945831,1378.63119984,801.393399954,0.00889992713928,0.083300113678,448.045900106,0.0048999786377,0.130800008774,exp1,4,4,1,4,4,8,8,0,rp.session.radical.mingtha.017035.0012
rp.session.radical.mingtha.017035.0015,4.42709994316,269.895200014,1140.80239987,30.113699913,0.00239992141724,0.112800121307,1374.66529989,899.558899879,0.00829982757568,0.0127000808716,548.7651999,0.00539994239807,0.116400003433,exp1,4,4,1,4,4,8,8,0,rp.session.radical.mingtha.017035.0015
rp.session.radical.mturilli.017134.0002,5.19790005684,383.167900085,4756.02359986,28.8029999733,0.00460004806519,0.0975999832153,4954.98959994,4512.53329992,0.301702022552,0.27780008316,4027.61339998,0.0373001098633,0.565799951553,exp10,16,11,6,16,11,128,128,0,rp.session.radical.mturilli.017134.0002
rp.session.radical.mturilli.017134.0004,4.69869995117,462.410300016,7717.0308001,29.5483999252,0.00279998779297,0.100600004196,8070.70559978,7442.71790004,0.68999838829,0.754601240158,6943.01239991,0.0784001350403,0.804800033569,exp10,16,14,4,16,14,256,256,0,rp.session.radical.mturilli.017134.0004
rp.session.radical.mturilli.017134.0005,3.91260004044,364.190500021,4540.18779993,28.8564999104,0.00300002098083,0.11109995842,4823.80439997,4296.67459989,0.256097793579,0.268200159073,3597.20620012,0.0352001190186,0.560600042343,exp10,16,15,6,16,15,128,128,0,rp.session.radical.mturilli.017134.0005
rp.session.radical.mturilli.017134.0006,4.34159994125,281.369800091,2378.56649995,29.195499897,0.00309991836548,0.0972001552582,2633.0999999,2134.93280005,0.110700130463,0.110799789429,1677.04100013,0.0167000293732,0.35890007019,exp10,16,14,5,16,14,64,64,0,rp.session.radical.mturilli.017134.0006
rp.session.radical.mturilli.017134.0007,5.34119987488,508.040300131,12223.3202999,28.366699934,0.00300002098083,0.0978000164032,12509.7960999,11973.7858,3.40810322762,1.90189790726,11551.0493,0.117000102997,1.19269990921,exp10,16,15,6,16,15,513,511,1,rp.session.radical.mturilli.017134.0007
rp.session.radical.mturilli.017135.0000,4.65440011024,383.247400045,8969.2098999,29.5561001301,0.00279998779297,0.0995998382568,9285.7592001,8714.04399991,0.742498874664,0.634699344635,8255.94990015,0.0566999912262,0.89359998703,exp10,16,13,5,16,13,260,256,4,rp.session.radical.mturilli.017135.0000
rp.session.radical.mturilli.017135.0001,4.3571999073,526.271800041,1931.66850019,29.5873000622,0.00229978561401,0.0968000888824,2770.12919998,1685.1243999,0.056300163269,0.0612995624542,1203.59739995,0.00869989395142,0.208699941635,exp10,16,11,5,16,11,32,32,0,rp.session.radical.mturilli.017135.0001
rp.session.radical.mturilli.017135.0002,4.40409994125,306.679200172,3359.33049989,28.8885998726,0.0025999546051,0.0970001220703,3531.3901,2082.00979996,0.0463004112244,0.0745985507965,1161.09579992,0.0390000343323,0.30379986763,exp10,16,13,6,16,13,34,30,2,rp.session.radical.mturilli.017135.0002
rp.session.radical.mturilli.017135.0003,4.5436000824,292.125499964,4080.88870001,30.0599999428,0.00279998779297,0.10019993782,4296.66269994,3839.02529979,0.205500125885,0.249099493027,3112.27690005,0.0336000919342,0.580099821091,exp10,16,16,7,16,16,130,128,2,rp.session.radical.mturilli.017135.0003
rp.session.radical.mturilli.017135.0004,4.58740019798,364.868800163,2087.45979977,29.6101999283,0.00419998168945,0.0999999046326,2316.06760001,1848.05800009,0.039400100708,0.0583999156952,835.091300011,0.00779986381531,0.213700056076,exp10,16,15,4,16,15,32,32,0,rp.session.radical.mturilli.017135.0004
rp.session.radical.mturilli.017135.0005,6.31170010567,249.332299948,3873.11559987,29.1723999977,0.00390005111694,0.102499961853,4061.6973002,3633.12350011,0.219199180603,0.236099243164,3117.6111002,0.0344998836517,0.546900033951,exp10,16,15,4,16,15,128,128,0,rp.session.radical.mturilli.017135.0005
rp.session.radical.mturilli.017135.0006,4.46799993515,647.867599726,3218.05520034,29.3880999088,0.00349998474121,0.0970001220703,3369.47790003,2979.55879998,0.100999593735,0.100499153137,1973.49690008,0.0172998905182,0.751399993896,exp10,16,12,5,16,12,64,64,0,rp.session.radical.mturilli.017135.0006
rp.session.radical.mturilli.017135.0007,5.6523001194,266.545700073,13163.3353,30.1645998955,0.00309991836548,0.100100040436,13348.598,10556.2111001,0.424898147583,0.444900751114,9691.67000008,0.0562000274658,0.736199855804,exp10,16,13,4,16,13,256,256,0,rp.session.radical.mturilli.017135.0007
rp.session.radical.mturilli.017135.0008,5.9279999733,506.089799881,22464.7723,29.2966001034,0.00709986686707,0.0975000858307,22684.7212,22178.2309999,0.480100154877,17.6608009338,21636.6904001,0.194800138474,1.94519996643,exp10,16,13,3,16,13,530,512,18,rp.session.radical.mturilli.017135.0008
