,pid,PendingInputStaging,Done
0,1,50.0426530838,956.096377134
1,1,50.0114679337,956.095394135
2,1,50.0605959892,956.140619993
3,1,50.1017661095,956.144627094
4,1,50.1194870472,956.189049006
5,1,50.2205021381,956.200114965
6,1,50.2178199291,956.234447002
7,1,56.9836270809,956.244207144
8,1,56.9989659786,956.286255121
9,1,56.9746584892,956.277819157
10,1,57.0326775312,957.405853033
11,1,57.014446497,957.398051977
12,1,57.0285021067,957.462279081
13,1,57.048050046,957.474664927
14,1,57.052587986,957.509916067
15,1,57.0766686201,958.566153049
16,1,57.0730515718,958.609859943
17,1,57.1024310589,958.625343084
18,1,57.1023329496,958.656687021
19,1,57.1296195984,958.679261923
20,1,57.1206390858,959.734806061
21,1,57.1452521086,959.770344973
22,1,57.1660740376,959.786175013
23,1,57.17862463,959.822340965
24,1,57.1896135807,960.894062996
25,1,57.2048770189,960.928750992
26,1,50.6890759468,960.99376297
27,1,57.2277971506,961.026489019
28,1,57.2402015924,961.102560997
29,1,57.2516111135,962.220941067
30,1,57.2673285007,962.296093941
31,1,57.2851675749,962.336951971
32,1,57.301995039,962.408373117
33,1,57.3042775393,962.45075202
34,1,57.3257995844,962.523972034
35,1,57.3393836021,962.548857927
36,1,51.0418491364,962.575363159
37,1,51.0747001171,963.688003063
38,1,51.1018929482,963.778855085
39,1,51.1186759472,963.794939041
40,1,51.151927948,964.863353968
41,1,51.1731641293,964.86660409
42,1,51.2218949795,964.910372972
43,1,51.2017259598,964.908914089
44,1,51.256508112,964.955615044
45,1,51.2777769566,966.000465155
46,1,51.3267569542,966.052317142
47,1,51.3568439484,966.059880018
48,1,51.3838391304,966.101681948
49,1,51.4220180511,967.148967028
50,1,51.4620330334,967.201664925
51,1,51.4882850647,968.248930931
52,1,51.5034561157,968.293586016
53,1,51.555724144,968.296971083
54,1,51.6716599464,968.337737083
55,1,51.7170100212,968.340408087
56,1,51.5674350262,969.424474955
57,1,51.6708519459,969.433321953
58,1,51.7184839249,969.470519066
59,1,51.7773621082,969.478650093
60,1,51.7781000137,969.515290976
61,1,51.825428009,969.535762072
62,1,51.8221280575,970.614901066
63,1,51.8839790821,970.647887945
64,1,51.8844799995,970.716160059
65,1,51.9313189983,970.744621992
66,1,51.935516119,970.818901062
67,1,51.9737730026,970.868909121
68,1,51.979115963,970.931545019
69,1,52.0265090466,970.984002113
70,1,52.0333859921,971.089550972
71,1,52.0714440346,971.103718996
72,1,52.0771679878,972.187196016
73,1,52.1154050827,972.190243959
74,1,52.122355938,972.234851122
75,1,52.2240660191,972.23804307
76,1,52.2277281284,972.283844948
77,2,65.3880751133,972.287630081
78,2,65.420468092,972.333296061
79,2,65.4335949421,972.344440937
80,2,65.4661281109,972.377956152
81,2,65.4828670025,972.392050982
82,1,52.2788701057,973.45907402
83,1,52.2809801102,973.475418091
84,1,52.3330070972,973.503243923
85,1,52.3336730003,973.518429041
86,1,52.395252943,973.548830032
87,2,65.5107800961,973.568880081
88,2,65.5284900665,973.599993944
89,2,65.5606701374,973.618366957
90,2,65.5783700943,973.649301052
91,2,65.6090400219,973.720561028
92,1,52.3959741592,973.745461941
93,1,52.4527161121,973.766498089
94,1,52.4532001019,973.792243004
95,1,52.5008339882,973.81945014
96,1,52.5013461113,973.84165597
97,2,65.6254971027,973.866728067
98,2,65.6713631153,973.890516043
99,2,65.6721770763,973.913845062
100,2,65.7316460609,973.941717148
101,2,65.7356300354,973.964061022
102,1,52.5448870659,975.05736804
103,1,52.5484719276,975.079091072
104,1,52.5944330692,975.140774965
105,1,52.6017451286,975.159842968
106,1,52.6476371288,975.394822121
107,2,65.7932200432,975.402981043
108,2,65.7980029583,975.452152967
109,2,65.8472819328,975.454558134
110,2,65.8523180485,975.510303974
111,2,65.9620690346,975.509809017
112,1,52.644477129,976.601455927
113,1,52.6954770088,976.613136053
114,1,52.6970169544,976.651206017
115,1,52.7419569492,976.658800125
116,1,52.7414979935,976.700009108
117,2,65.9910740852,976.717910051
118,2,66.0240380764,976.751587152
119,2,66.043628931,976.769654989
120,1,52.7898271084,976.799818039
121,1,52.7893431187,976.825490952
122,1,52.8402991295,976.847634077
123,1,52.8399410248,976.881905079
124,1,52.8915359974,976.902353048
125,2,66.0771660805,976.933153152
126,2,66.0883820057,976.956902981
127,2,66.1277401447,976.981236935
128,2,66.1351029873,977.010633945
129,2,66.1793930531,977.030003071
130,2,66.1761341095,977.062260151
131,1,52.8908929825,978.120612144
132,1,53.0190451145,978.162204027
133,1,53.0197031498,978.167819023
134,1,53.0642621517,978.211570024
135,1,53.0687761307,978.214362144
136,2,66.2330999374,978.262637138
137,2,66.2337701321,978.285351038
138,2,66.289552927,978.319781065
139,2,66.2899990082,978.32870698
140,2,66.3350920677,978.365659952
141,1,53.1123120785,979.426923037
142,1,53.1188960075,979.467175961
143,1,53.1716930866,979.471415997
144,1,53.1738741398,979.513669968
145,1,53.2199690342,979.521131039
146,2,66.3385031223,979.564306021
147,2,66.3927071095,979.570161104
148,2,66.3959901333,979.626934052
149,2,66.4496941566,979.628198147
150,2,66.4614131451,979.676497936
151,1,53.2329621315,980.733735085
152,1,53.2822930813,980.773301125
153,1,53.2875001431,980.783710003
154,1,53.3364181519,980.820246935
155,1,53.3370890617,980.825505972
156,1,53.3928620815,980.868206978
157,1,53.393362999,980.872226
158,1,53.4433579445,980.918797016
159,1,53.4411649704,980.919373989
160,1,53.5125191212,980.966954947
161,2,66.4968299866,980.968986034
162,2,66.5098121166,981.011970043
163,2,66.5819630623,981.035762072
164,2,66.5833170414,981.06380105
165,2,66.6370539665,981.077683926
166,2,66.6427371502,981.107957125
167,2,66.6903460026,981.122507095
168,2,66.6896800995,981.162626028
169,2,66.7499761581,981.16534996
170,2,66.7531490326,981.210998058
171,1,53.5165550709,982.258279085
172,1,53.5706219673,982.300943136
173,1,53.5683341026,982.313282967
174,1,53.625688076,982.349745035
175,1,53.6224091053,982.364068031
176,2,66.8019280434,982.40241313
177,2,66.822024107,982.418569088
178,2,66.8502321243,982.446732998
179,2,66.8659291267,982.462916136
180,2,66.9067399502,982.489094019
181,1,53.6794641018,983.578344107
182,1,53.6789660454,983.600785971
183,1,53.7315080166,983.711158991
184,1,53.744893074,983.739866972
185,1,53.777905941,983.828978062
186,2,66.9586670399,983.832069159
187,2,67.0073080063,983.884436131
188,2,66.9845309258,983.883538961
189,1,53.7963020802,983.947183132
190,1,53.8272540569,983.9482131
191,1,53.8785660267,983.995389938
192,1,53.8453500271,983.996243954
193,1,53.8929021358,984.042958975
194,2,67.0389270782,984.050246954
195,2,67.0525529385,984.086440086
196,2,67.0881371498,984.096421957
197,2,67.0972671509,984.140114069
198,2,67.1336290836,984.147999048
199,2,67.1408240795,984.183601141
200,2,67.1847231388,984.201306105
201,1,53.9275641441,985.271876097
202,1,53.9397780895,985.28323102
203,1,53.9723861217,985.32505393
204,1,53.9866099358,985.334605932
205,1,54.0199770927,985.379716158
206,2,67.1911671162,985.384858131
207,2,67.2535021305,985.432353973
208,2,67.2539789677,985.44531703
209,2,67.3012599945,985.481967926
210,2,67.3049690723,985.494245052
211,1,54.0384831429,986.571345091
212,1,54.0679929256,986.589511156
213,1,54.0980570316,986.614072084
214,1,54.1219930649,986.638406038
215,1,54.1504471302,986.658470154
216,2,67.3453609943,986.684664965
217,2,67.3514821529,986.703352928
218,2,67.3913300037,986.731603146
219,2,67.398927927,986.75771904
220,2,67.4360620975,986.789251089
221,1,54.174724102,987.868337154
222,1,54.2031509876,987.916198015
223,1,54.2226009369,987.917650938
224,1,54.2517781258,987.963617086
225,1,54.2698330879,987.968101978
226,1,54.3021090031,988.008152962
227,1,54.3236370087,988.015038013
228,1,54.3718190193,988.057367086
229,1,54.389703989,988.061044931
230,1,54.4573709965,988.108222008
231,2,67.4467661381,988.109650135
232,2,67.4892439842,988.154113054
233,2,67.4908509254,988.15813899
234,2,67.5329749584,988.203808069
235,2,67.5386309624,988.207841158
236,2,67.5797679424,988.251485109
237,2,67.630931139,988.258754015
238,2,67.6608860493,988.309082031
239,2,67.6798739433,988.31025815
240,2,67.7172839642,988.354440928
241,1,54.4579100609,989.394537926
242,1,54.5114850998,989.437845945
243,1,54.5167930126,989.443432093
244,1,54.5553851128,989.489820004
245,1,54.562869072,989.490246058
246,2,67.7431271076,989.540257931
247,2,67.7610621452,989.542976141
248,2,67.7980699539,989.590481997
249,2,67.8048961163,989.594388008
250,2,67.861907959,989.64497304
251,1,54.5993959904,990.69156599
252,1,54.6136040688,990.752787113
253,1,54.6449320316,990.757149935
254,1,54.6619420052,990.803666115
255,1,54.6918981075,990.816959143
256,2,67.8804471493,990.866601944
257,2,67.9067361355,990.870651007
258,2,67.9590620995,990.922415972
259,2,67.9295070171,990.920868158
260,2,67.9997560978,990.988600016
261,1,54.7225899696,992.03124094
262,1,54.7591819763,992.075577021
263,1,54.7830719948,992.088818073
264,1,54.8125939369,992.120705128
265,1,54.8522100449,992.132740021
266,1,54.8804271221,992.165884018
267,1,54.910380125,992.185617924
268,1,54.9306089878,992.213519096
269,1,54.9626879692,992.234319925
270,1,54.9787299633,992.259860039
271,2,68.0198221207,992.279489994
272,2,68.0469801426,992.307628155
273,2,68.0692219734,992.323558092
274,2,68.0979421139,992.359843016
275,2,68.1149170399,992.36529398
276,2,68.1476631165,992.401967049
277,2,68.1611261368,992.408209085
278,2,68.2051849365,992.453938961
279,2,68.1925449371,992.455935955
280,2,68.2393651009,992.502438068
281,1,55.0190401077,993.539857149
282,1,55.0377840996,993.579589128
283,1,55.0715019703,993.583971024
284,1,55.0936040878,993.623914957
285,1,55.1342151165,993.635421991
286,2,68.2492210865,993.671640158
287,2,68.2830860615,993.678647995
288,2,68.2952680588,993.719819069
289,2,68.335873127,993.726042032
290,2,68.3466410637,993.768501997
291,1,55.1521580219,994.825745106
292,1,55.1818039417,994.859970093
293,1,55.1936509609,994.871645927
294,1,55.2261509895,994.901785135
295,1,55.2513151169,994.926862001
296,2,68.3813991547,994.956331015
297,2,68.3972280025,994.977924109
298,2,68.4278140068,995.00486207
299,2,68.4442989826,995.026715994
300,2,68.4771101475,995.052407026
301,1,55.2831821442,996.11322999
302,1,55.306098938,996.143383026
303,1,55.3509180546,996.156059027
304,1,55.3766109943,996.192319155
305,1,55.4030730724,996.203979969
306,1,55.4378249645,996.238014936
307,1,55.4665651321,996.250865936
308,1,55.4878849983,996.283489943
309,1,55.5176670551,996.294570923
310,1,55.5577039719,996.331146002
311,2,68.4997210503,996.341827154
312,2,68.5258450508,996.385514975
313,2,68.543035984,996.386738062
314,2,68.5913190842,996.434092999
315,2,68.5712180138,996.435146093
316,2,68.619230032,996.482572079
317,2,68.6372411251,996.484010935
318,2,68.6674611568,996.558637142
319,2,68.6801321507,996.600528955
320,2,68.7118620872,996.657557964
321,1,56.0340211391,997.749171019
322,1,56.0585720539,997.793668032
323,1,56.0812549591,997.843215942
324,1,56.1115090847,997.854799032
325,1,56.1263520718,997.887377977
326,2,68.7250950336,997.89784503
327,2,68.7587370872,997.931872129
328,2,68.7709491253,997.941643953
329,2,68.811111927,997.975687981
330,2,68.812912941,997.989830971
331,1,56.1574239731,999.155347109
332,1,56.1701049805,999.154989958
333,1,56.2161829472,999.204587936
334,1,56.2083780766,999.203561068
335,1,56.2567451,999.253782034
336,1,56.2734861374,999.254624128
337,1,56.3023650646,999.302478075
338,1,56.3186211586,999.303504944
339,1,56.3661739826,999.34859705
340,1,56.3516790867,999.3481071
341,2,68.8707120419,999.39580512
342,2,68.8714640141,999.39936614
343,2,68.9243330956,999.440242052
344,2,68.9247441292,999.447421074
345,2,68.9772830009,999.484828949
346,2,68.9804620743,999.50457716
347,2,69.0242769718,999.54974103
348,2,69.0233550072,999.547430992
349,2,69.0749430656,999.600003958
350,2,69.0722079277,999.612921953
351,1,56.3958160877,1000.680125
352,1,56.4137670994,1000.68990111
353,1,56.4543509483,1000.72623014
354,1,56.4609079361,1000.74344015
355,1,56.5031609535,1000.77709293
356,2,69.1260590553,1000.79578304
357,2,69.1266281605,1000.82126713
358,2,69.1729700565,1000.84032202
359,2,69.1782500744,1000.86627293
360,2,69.2180349827,1000.88277197
361,1,56.5060589314,1001.94360209
362,1,56.5625090599,1001.96890402
363,1,56.5620729923,1001.99032116
364,1,56.6246609688,1002.01354909
365,1,56.6251199245,1002.03611398
366,2,69.2262539864,1002.06202602
367,2,69.2671570778,1002.08942509
368,2,69.2792201042,1002.11401105
369,2,69.3118009567,1002.14216495
370,4,96.5067789555,1002.16702914
371,4,96.5108921528,1002.19423199
372,4,96.5660381317,1002.21355009
373,4,96.5666251183,1002.29444504
374,1,56.68069911,1002.29356599
375,1,56.6814079285,1002.33962297
376,1,56.7304661274,1002.35013294
377,1,56.7358131409,1002.38407016
378,1,56.7778670788,1002.39609599
379,4,96.6188950539,1002.43256998
380,2,69.3260030746,1002.48819494
381,2,69.3551859856,1002.59348607
382,2,69.371379137,1002.71437407
383,2,69.4004750252,1002.85610008
384,2,69.4249510765,1002.99186802
385,4,96.6197459698,1003.04350805
386,4,96.6751351357,1003.09096909
387,4,96.6758909225,1003.13424802
388,4,96.7311661243,1003.19233012
389,4,96.7305850983,1003.24200416
390,1,56.7840240002,1003.29380798
391,1,56.8277289867,1003.34022498
392,1,56.824794054,1003.38912606
393,1,56.877972126,1003.434551
394,1,56.8787419796,1003.47781801
395,2,69.447343111,1003.52323699
396,2,69.4722399712,1003.56469703
397,2,69.4930720329,1003.61256409
398,2,69.5212800503,1003.66277814
399,2,69.5428760052,1003.70929003
400,4,96.7921099663,1003.75486803
401,4,96.792607069,1003.80195713
402,4,96.8441181183,1003.86180711
403,4,96.8472061157,1003.91048908
404,4,96.9059410095,1003.95499706
405,1,56.9272320271,1004.52098513
406,1,56.9297780991,1004.56708002
407,1,56.9796640873,1004.61512399
